date,Prospect_naming
17,apple
17,google
17,cnn
17,cnbc
17,yahoo
17,promotionpix
18,tempechryslerjeepdodge.net
18,helfmandodge.net
18,wysupchryslerdodge
18,bloomingtonchryslerjeep.net
18,thayercdjr
18,merrickdodgechryslerjeep
18,
18,jackyjonescdjr
18,wickstromchryslerjeepdodgeram
18,planetdodge
18,onet
